Family,Species (Latin Name),Inuvialuktun Name(s),English Name,French Name
Apiaceae,Cnidium cnidiifolium (Turcz.) Schischk.,,Jakutsk snow parsley,cnide du Nord
Asteraceae,Achillea millefolium subsp. borealis (Bong.) Breitung,naur?iaq (U),boreal yarrow,achillée boréale
Asteraceae,Antennaria friesiana (Trautv.) Ekman subsp. friesiana,,Fries’ pussytoes antennaire de Fries,
Asteraceae,Arnica angustifolia Vahl. subsp. angustifolia,,narrow-leaved arnica,arnica à feuilles étroites
Asteraceae,Artemisia tilesii Ledeb.,naur?iaq (U),Tilesius wormwood,armoise de Tilesius
Asteraceae,Erigeron eriocephalus Vahl,,one-flowered fleabane,vergerette à capitule laineux
Asteraceae,Erigeron humilis Graham,,low fleabane,petite vergerette
Asteraceae,Eurybia sibirica (L.) G.L.Nesom,,Siberian aster,aster de Sibérie
Asteraceae,Hulteniella integrifolia (Richardson) Tzvelev,,entire-leaved daisy,marguerite à feuilles entières
Asteraceae,Packera hyperborealis (Greenm.) Á. Löve and D. Löve,,northern groundsel,séneçon hyperboréal
Asteraceae,Petasites frigidus (L.) Fr. subsp. frigidus,akutuqpalik (S); quaraqpaaluit (S); siutirnat (U),arctic sweet coltsfoot,pétasite des régions froides
Asteraceae,Senecio lugens Richardson,,small black-tip ragwort,séneçon pleureur
Asteraceae,Solidago multiradiata Aiton,,multi-rayed goldenrod,verge d'or à rayons nombreux
Asteraceae,Symphyotrichum pygmaeum (Lindl.) Brouillet & Selliah,,pygmy aster,aster nain
Asteraceae,Taraxacaum ceratophorum (Ledeb.) DC.,ipiq (pl. ippit; ipit; ipiit) (S); isurnaluk (U),horned dandelion,pissenlit tuberculé
Asteraceae,Taraxacum hyparcticum Dahlst.,ipiq (pl. ippit; ipit; ipiit) (S); isurnaluk (U),high arctic dandelion,pissenlit du Grand Nord
Asteraceae,Taraxacum phymatocarpum J. Vahl,ipiq (pl. ippit; ipit; ipiit) (S); isurnaluk (U),Northern dandelion ,pissenlit en lyre
Asteraceae,Tephroseris frigida (Richardson) Holub,qibliqiat(I),purple-haired groundsel,séneçon à poils pourprés
Asteraceae,Tephroseris palustris (L.) Rchb.,halgi(I),marsh groundsel,séneçon des marais
Asteraceae,Tripleurospermum maritimum subsp. phaeocephalum (Rupr.) Hämet-Ahti,qibliqiat(I),arctic chamomile,matricaire à capitules brunâtres
Boraginaceae,Mertensia maritima subsp. tenella (Th.Fr.) Elven & Skarpaas,iviuyat (S),seaside bluebells,mertensie délicate
Brassicaceae,Braya glabella Richardson subsp. glabella,,smooth braya,braya glabre
Brassicaceae,Braya glabella subsp. purpurascens (R. Br.) Cody,,purple braya,braya purpurine
Brassicaceae,Braya humilis (C.A. Mey.) B.L. Robins. subsp. humilis,,low braya,braya délicat
Brassicaceae,Braya pilosa Hook.,,hairy braya,braya poilu
Brassicaceae,Cardamine digitata Richardson,,Richardson's bittercress,cardamine à feuilles digitées
Brassicaceae,Cardamine polemonioides Rouy ,,meadow bittercress,cardamine des prés
Brassicaceae,Cochlearia groenlandica L.,,Greenland scurvygrass,cranson du Groenland
Brassicaceae,Descurainia sophioides (Fisch. ex Hook.) O.E. Schulz,tingmiluit nautiat (I),northern tansy mustard,moutarde-tanaisie fausse-sagesse
Brassicaceae,Draba arctica J. Vahl,,Arctic draba,drave arctique
Brassicaceae,Draba cinerea J.E. Adams,,grey-leaved draba,drave cendrée
Brassicaceae,Draba corymbosa R.Br. ex DC.,,flat-top draba,drave en corymbe
Brassicaceae,Draba glabella Pursh,,smooth draba,drave glabre
Brassicaceae,Draba juvenilis Kom.,,long-stalked draba,drave à longs pédicelles
Brassicaceae,Draba micropetala Hook.,,small-flowered draba,drave à petits pétales
Brassicaceae,Draba nivalis Lilj.,,snow draba,drave des neiges
Brassicaceae,Draba oblongata R. Br. ex DC.,,Canadian arctic draba,drave oblongue
Brassicaceae,Draba pauciflora R. Br,,few-flowered draba,drave pauciflore
Brassicaceae,Draba pilosa Adams ex DC.,,pilose draba,drave poilue
Brassicaceae,Draba simmonsii Elven & Al-Shehbaz,,Simmons’ draba,drave de Simmons
Brassicaceae,Erysimum pallasii (Pursh.) Fern.,nauttiaq (I),Pallas' wallflower,vélar de Pallas
Brassicaceae,Eutrema edwardsii R. Br.,,Edwards' mock wallflower,eutréma d'Edwards
Brassicaceae,Physaria arctica (Wormsk. ex Hornem.) O'Kane & Al-Shehbaz,,arctic bladderpod,lesquerelle arctique
Caryophyllaceae,Arenaria longipedunculata Hultén,,long-stemmed sandwort,sabline à longs pédoncules
Caryophyllaceae,Cerastium alpinum L.,,alpine chickweed,céraiste alpin
Caryophyllaceae,Cerastium arcticum Lange,,arctic chickweed,céraiste arctique
Caryophyllaceae,Cerastium beeringianum Cham. & Schltdl.,,Bering Sea chickweed,céraiste du détroit de Béring
Caryophyllaceae,Cerastium regelii Ostenf.,,Regel's chickweed,céraiste de Regel
Caryophyllaceae,Honckenya peploides subsp. diffusa (Hornem.) Hultén ex V.V. Petrovsky,iviuyat(S),seabeach sandwort,honckénye faux-pourpier
Caryophyllaceae,Sabulina rubella (Wahlenb.) Dillenb. & Kadereit,,reddish stitchwort,sabline rougeâtre
Caryophyllaceae,Sagina nivalis (Lindbl.) Fr.,,snow pearlwort,sagine des neiges
Caryophyllaceae,Silene involucrata (Cham. & Schltdl.) Bocquet subsp. involucrata,,greater arctic campion,silène involucré
Caryophyllaceae,Silene uralensis (Rupr.) Bocquet subsp. uralensis,"qaralayuluit, qarayaruuyualuit (I)",nodding campion,silène de l'Oural
Caryophyllaceae,Stellaria humifusa,,"Salt-marsh starwort, low sandwort",stellaire déprimée
Caryophyllaceae,Stellaria longipes Goldie,,long-stalked starwort,stellaire à longs pédicelles
Celastraceae,Parnassia kotzebuei Cham. ex Spreng.,,Kotzebue's grass-of-Parnassus,parnassie de Kotzebue
Cyperaceae,Carex aquatilis subsp. stans (Drejer) Hultén,,Arctic water sedge,Carex mineur
Cyperaceae,Carex bigelowii subsp. lugens (Holm) Egorova,,Spruce muskeg sedge,carex pleureur
Cyperaceae,Carex borealipolaris S.R.Zhang ,,Siberian bog sedge,carex circumboréal
Cyperaceae,Carex chordorrhiza Ehrh. ex L. f.,,creeping sedge,carex à longs stolons
